Longitude,Latitude,hour,month,weekday,park
-122.38416281,47.560205048,8,7,4,51
-122.376700236,47.692787687,16,7,1,44
-122.318435784,47.598342754,16,7,1,115
-122.292753429,47.718303891,17,7,1,31
-122.331082201,47.602412413,17,7,1,103
-122.29469691,47.720185075,17,7,1,33
-122.341555945,47.571626803,18,7,1,54
-122.292493611,47.721007497,18,7,1,29
-122.338146748,47.610975163,19,7,1,101
-122.303172862,47.61293726,18,7,1,126
-122.362150139,47.535515058,18,7,1,32
-122.3553,47.68694,12,1,6,54
-122.344996835,47.725035552,19,7,1,19
-122.36358138,47.642570493,19,7,1,79
-122.282344886,47.537044021,19,7,1,44
-122.340128233,47.610623458,19,7,1,101
-122.334817771,47.61236845,20,7,1,103
-122.271275489,47.5497131,20,7,1,39
-122.34586311,47.612990814,20,7,1,90
-122.344520045,47.690199289,19,7,1,53
-122.324615153,47.708602801,18,7,1,43
-122.352028196,47.616636088,16,7,1,82
-122.3581,47.672348,12,1,6,74
-122.340128233,47.610623458,15,7,1,101
-122.331124149,47.601717571,16,7,1,102
-122.31276,47.616447,12,1,6,127
-122.348584229,47.653431675,17,7,1,95
-122.334817771,47.61236845,18,7,1,103
-122.283445035,47.574265582,18,7,1,78
-122.287227064,47.604151326,18,7,1,91
-122.36358138,47.642570493,18,7,1,79
-122.337338755,47.60925298,19,7,1,100
-122.318735534,47.678025863,19,7,1,75
-122.387212469,47.545098739,19,7,1,50
-122.297544893,47.609511246,17,7,1,115
-122.299888346,47.591221064,17,7,1,108
-122.363818205,47.535520311,17,7,1,34
-122.337238175,47.609981889,17,7,1,102
-122.344630886,47.631408971,17,7,1,106
-122.331124149,47.601717571,18,7,1,102
-122.330510335,47.601885903,18,7,1,101
-122.354022508,47.69692944,18,7,1,45
-122.286179207,47.536481375,21,7,1,45
-122.331124149,47.601717571,21,7,1,102
-122.343500195,47.632858771,22,7,1,108
-122.333529122,47.600882385,22,7,1,97
-122.36385,47.7025,12,1,6,40
-122.342879608,47.609812733,22,7,1,91
-122.324412807,47.596673267,23,7,1,106
-122.361989401,47.69135672,23,7,1,46
-122.360321878,47.634742394,23,7,1,72
-122.344441907,47.608901462,23,7,1,91
-122.35100872,47.614861071,23,7,1,85
-122.330736652,47.609465448,0,7,2,107
-122.30532952,47.624408301,0,7,2,133
-122.34188707,47.61854842,22,7,1,105
-122.342626849,47.651620019,20,7,1,105
-122.34323,47.695625,12,1,6,44
-122.296739941,47.575827097,21,7,1,98
-122.31201281,47.660521621,21,7,1,88
-122.351120185,47.616686272,21,7,1,84
-122.386803991,47.560215613,21,7,1,49
-122.316636307,47.659096234,21,7,1,92
-122.327616015,47.553388536,13,7,1,39
-122.346722395,47.612326001,21,7,1,88
-122.333887757,47.607158143,21,7,1,102
-122.289937786,47.570674961,21,7,1,82
-122.319889288,47.705844231,23,7,1,50
-122.357331648,47.632316637,0,7,2,75
-122.329469069,47.613233616,0,7,2,114
-122.303098808,47.618795464,21,7,1,132
-122.318435784,47.598342754,0,7,2,115
-122.388695082,47.672375662,0,7,2,54
